id,acc_app_id,area,acc_activity_id,actividad,organization_name,pais,province_id,provincia,canton
19525,1219,LABORATORIOS,12,ENSAYOS,"EMPRESA DE TELECOMUNICACIONES, AGUA POTABLE, ALCANTARILLADO Y SANEAMIENTO DE CUENCA ETAPA EP",Ecuador,1,Azuay,Cuenca
25088,1225,LABORATORIOS,12,ENSAYOS,BMTLAB,Ecuador,5,Chimborazo,Riobamba
25089,1225,LABORATORIOS,12,ENSAYOS,BMTLAB,Ecuador,5,Chimborazo,Riobamba
25090,1225,LABORATORIOS,12,ENSAYOS,BMTLAB,Ecuador,5,Chimborazo,Riobamba
25091,1225,LABORATORIOS,12,ENSAYOS,BMTLAB,Ecuador,5,Chimborazo,Riobamba
6237,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11968,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11969,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11970,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11971,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11972,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11973,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11974,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11975,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11976,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11977,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11978,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11979,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11980,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11981,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11982,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11983,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11984,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11985,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11986,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11989,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11990,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11991,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11992,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11993,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11994,381,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
11996,687,LABORATORIOS,2,CLÍNICOS,LABORATORIO CLINICO E HISTOPATOLOGICO SUCRE,Ecuador,5,Chimborazo,Riobamba
