"idOrganizacion";"idActividad";"level_2";"level_3";"level_4";"level_5";"level_6";"level_7";"level_8";"level_9";"level_10";"level_11"
"41";"12";NULL;"En laboratorio";"Ensayos físico – químicos en aguas";"Cromatografía de Gases -
Detector de Masas";"Pesticidas
Organonitrogenados";"Aguas naturales
Aguas de consumo";"<p> </p><p>  &nbsp;</p><p> &nbsp;    (4 a 50) µg/l</p><p>   ANALITO&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;# CAS</p><p>   Prometon&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1610-18-0</p><p>Simazina&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;122-34-9</p><p>Atrazina&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;1912-24-9</p><p class=""ql-align-right"">   Metribuzin&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;21087-64-</p><p class=""ql-align-center"">   9</p><p class=""ql-align-right"">   Alachlor&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;15972-60-</p><p class=""ql-align-center"">   8</p><p>   Bromacil&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;314-40-9</p><p class=""ql-align-right"">   Metolachlor&nbsp;&nbsp;&nbsp;51218-45-</p><p class=""ql-align-center"">   2</p><p class=""ql-align-right"">   Butachlor&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;23184-66-</p><p class=""ql-align-center"">   9</p><p>  </p><p>    &nbsp;</p><p> &nbsp;</p><p>  </p>";"<p>PEE.LASA.FQ.76</p><p><br></p>";"U.S. EPA 633: 2007";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico – químicos en aguas";"Espectrofotometría";"Nitrógeno amoniacal";"Aguas Naturales
Aguas Residuales
Aguas de Consumo";"<p>  &nbsp;</p><p>(0,25 a 25) mg/L de N</p><p>   (0,30 a 30) mg/L como</p><p>   NH3</p><p>   (0,32 a 32) mg/L como</p><p>   NH4+</p><p>  </p>";"<p>PEE.LASA.FQ.18</p>";"HACH 8038, Ed. 9, 2017";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico - químicos en suelos";"Espectrofotometría de Absorción Atómica de Llama";"Metales";"Suelos, lodos y sedimentos";"<p>Cobre (Cu)</p><p>(25 - 200,00) mg/kg</p><p>&nbsp;</p><p>Aluminio (Al)</p><p>(50,00 - 9152,10) mg/kg</p><p>&nbsp;</p><p>Cromo (Cr)</p><p>(10,00 - 106,00) mg/kg</p>";"<p>PEE.LASA.FQ.68</p>";"EPA 7000 B, Rev. 2, 2007";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico - químicos en suelos";"Espectrofotometría de Absorción Atómica de Llama";"Metales";"Suelos, residuos sólidos, lodos y sedimentos";"<p>Cadmio (Cd),</p><p>(0,50 a 200 ) mg/kg</p><p>&nbsp;</p><p>Níquel (Ni),</p><p>(5,00 a 1000 ) mg/kg</p><p>&nbsp;</p><p>Plomo (Pb),</p><p>(10,0 a 500 ) mg/kg</p>";"<p>PEE.LASA.FQ.51</p>";"EPA 7000 B, Rev. 2, 2007";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico - químicos en suelos";"HPLC con Detector de Fluorescencia";"HAPs";"Suelos";"<p>Naphthalene</p><p>(88.09 - 8809) ug/kg</p><p>Acenaphthene</p><p>(87.38 - 8738) ug/kg</p><p>Fluorene</p><p>(17.86 - 1786) ug/kg</p><p>Phenanthrene (8.76 - 876) ug/kg</p><p>Anthracene</p><p>(8.86 - 886) ug/kg</p><p>Fluranthene</p><p>(17.69 - 1769) ug/kg</p><p>Pyrene</p><p>(8.73 - 873) ug/kg</p><p>Benz(a)anthraceno</p><p>(8.92 - 892) ug/kg</p><p>Chrysene</p><p>(8.93 - 893) ug/kg</p><p>Benzo (b ) Fluranthene (17.86 - 1786) ug/kg</p><p>Benzo (k ) Fluranthene (8.89 - 889) ug/kg</p><p>Benzo (a) pyrene (8.78 - 878) ug/kg</p><p>Dibenzo (a,h) anthracene (17.64 - 1764) ug/kg</p><p>Benzo (ghi) perylene, (17.42 - 1742) ug/kg</p><p>Indeno (1,2,3-cd) pyrene, (8.87 - 887) ug/kg</p>";"<p>PEE.LASA.FQ.67</p>";"EPA 8310, 1986";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico-químicos en alimentos";"Cromatografía líquida de alta eficiencia HPLC";"Suero de quesería";"Leche";"<p>(1 a 10 ) %</p>";"<p>PEE.LASA.FQ.34</p>";"NTE INEN 2401:2014";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico-químicos en alimentos";"Absorción Atómica (AAS) Horno de Grafito";"Metales";"Productos de confitería y lácteos, cacao y derivados, cereales y derivados, bebidas gaseosas y cervezas";"<p>Plomo</p><p>&nbsp;</p><p>(0,1 a 0,8) mg/kg Productos de Confitería</p><p>&nbsp;</p><p>(0,02 a 0,16) mg/kg Lácteos</p><p>&nbsp;</p><p>(0,1 a 0,8) mg/kg Cacao y derivados</p><p>&nbsp;</p><p>(0,1 a 4,0) mg/kg Cereales y derivados</p><p>&nbsp;</p><p>(0,01 a 0,16) mg/l Bebidas Gaseosas</p><p>&nbsp;</p><p>(0,01 a 0,16) mg/l Cerveza</p>";"<p>PEE.LASA.BR.37</p>";"UNE – EN 14084: 2003";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico-químicos en alimentos";"Absorción Atómica (AAS) Horno de Grafito";"Metales";"Cacao y derivados. Cereales y derivados.";"<p>Cadmio</p><p>&nbsp;</p><p>(0,05 a 1,0) mg/kg Cacao y derivados</p><p>&nbsp;</p><p>(0,05 a 1,0) mg/kg Cereales y derivados</p>";"<p>PEE.LASA.BR.48</p>";"UNE-EN 14084: 2003";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico-químicos en alimentos";"Absorción Atómica (AAS) Horno de Grafito";"Metales";"Cacao y derivados. Grasas y aceites comestibles.
Cereales y derivados.";"<p>Cobre</p><p>&nbsp;</p><p>(0,3 a 20) mg/kg Cacao y derivados</p><p>&nbsp;</p><p class=""ql-align-justify"">(0,1 a 6,7) mg/kg Grasas y aceites comestibles</p><p>&nbsp;</p><p>(0,3 a 20) mg/kg Cereales y derivados</p>";"<p>PEE.LASA.BR.48</p>";"UNE-EN 14084: 2003";NULL
"41";"12";NULL;"En laboratorio";"Ensayos físico-químicos en alimentos";"Espectrofotometría Absorción Atómica- Generación de Hidruros";"Metales";"Productos del mar, cacao y derivados, cereales y derivados";"<p>Mercurio</p><p>(0.04 a 0.6) mg/Kg</p>";"<p>PEE.LASA.BR.49</p>";"UNE-EN 13806: 2003";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en alimentos";"Recuento en placa";"Recuento de aerobios mesófilos";"Alimentos";"<p>>=10 UFC/g</p>";"<p>PEE.LASA.MB.03</p>";"BAM Cap 3, Ed.2005";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en alimentos";"NMP";"Coliformes totales";"Alimentos";"<p>&gt;3 NMP / g</p>";"<p>PEE.LASA.MB.01b</p>";"BAM Cap 4, Ed.2017";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en alimentos";"Recuento en placa";"Mohos y Levaduras";"Alimentos";"<p>>=10 ufc / g</p>";"<p>PEE.LASA.MB.04</p>";"BAM Cap. 18, 2005";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en alimentos";"Recuento en placa";"Clostridium perfringens";"Alimentos";"<p>>=10 UFC/g</p>";"<p>PEE.LASA.MB.07</p>";"BAM Cap 16, 2005";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en alimentos";"Recuento en placa";"Bacillus cereus";"Alimentos";"<p>>=10 UFC/g</p>";"<p>PEE.LASA.MB.08</p>";"BAM Cap. 14, 2012";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en alimentos";"Recuento en placa";"Enterobacterias";"Alimentos";"<p>>=10 UFC/g</p>";"<p>PEE.LASA.MB.21</p>";"NTE INEN 1529 – 13:98.";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en alimentos";"Recuento en placa";"Bacterias ácido lácticas";"Alimentos lácteos";"<p>>=10 UFC/g</p>";"<p>PEE.LASA.MB.25</p>";"APHA 8071, Ed. 17, 2004";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en superficies";"Petrifilm";"Aerobios Mesófilos";"Superficies vivas e inertes";"<p>>=1 UFC/ cm2</p><p>>=1 UFC/ superficie muestreada</p>";"<p>PEE.LASA.MB.12b</p>";"Método de Referencia ISO 18593: 2018";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en superficies";"Petrifilm";"Coliformes totales";"Superficies vivas e inertes";"<p>>=1 UFC/ cm2</p><p>>=1 UFC/ superficie muestreada</p>";"<p>PEE.LASA.MB.12b</p>";"ISO 18593: 2018";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en superficies";"Petrifilm";"Enterobacterias";"Superficies vivas e inertes";"<p>>=1 UFC/ cm2</p><p>>=1 UFC/ superficie muestreada</p>";"<p>PEE.LASA.MB.12b</p>";"ISO 18593: 2018";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en aguas";"Filtración por membrana";"Clostridium perfringens";"Agua de Consumo";"<p>(Ausencia- presencia)/100ml</p>";"<p>PEE.LASA.MB.23</p>";"ISO 14189: 2013";NULL
"41";"12";NULL;"In situ";"Acústica ambiental";"Nivel de presión Sonora";"Ruido";"Ruido Ambiente";"<p>(37,5 a 128) dB</p>";"<p>PEE.LASA.CP.07</p>";"ISO 1996 parte 1, 2016 - parte-
2 2017";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en superficies";"Petrifilm";"Listeria spp.";"Superficies vivas e inertes";"<p>Ausencia / Presencia</p>";"<p>PEE.LASA.MB.12b</p>";"AOAC RI No. 030601";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en productos cosméticos";"Recuento en placa";"Aerobios Mesófilos";"Cosméticos";"<p>>= 10 UFC/g</p>";"<p>PEE.LASA.MB.22</p>";"ISO 21149:2017";NULL
"41";"12";NULL;"En laboratorio";"Análisis microbiológicos en productos cosméticos";"Aislamiento e identificación";"Pseudomonas aeruginosa";"Cosméticos";"<p>Ausencia / Presencia</p>";"<p>PEE.LASA.MB.22</p>";"ISO 22717:2015";NULL
